Mes,Nike: (Todo el mundo),Adidas: (Todo el mundo),Under Armour: (Todo el mundo),Puma: (Todo el mundo)
2018-01,61,43,0.5,10
2018-02,61,42,0.5,10
2018-03,67,46,0.5,12
2018-04,64,46,0.5,11
2018-05,59,42,0.5,10
2018-06,62,45,0.5,10
2018-07,69,46,0.5,10
2018-08,70,43,0.5,10
2018-09,88,44,0.5,10
2018-10,61,37,0.5,9
2018-11,72,45,0.5,11
2018-12,75,46,0.5,11
2019-01,64,40,0,10
2019-02,69,39,0.5,11
2019-03,71,44,0,11
2019-04,68,41,0.5,11
2019-05,66,39,0,10
2019-06,69,41,0,10
2019-07,74,44,0.5,11
2019-08,75,45,0.5,11
2019-09,69,40,0.5,11
2019-10,68,37,0.5,10
2019-11,83,45,0.5,12
2019-12,89,46,0.5,12
2020-01,75,42,0.5,12
2020-02,73,36,0.5,12
2020-03,63,31,0.5,11
2020-04,62,33,0.5,9
2020-05,82,41,0.5,11
2020-06,76,40,0.5,11
2020-07,77,39,0.5,12
2020-08,80,39,0.5,12
2020-09,77,39,0.5,13
2020-10,75,35,0.5,12
2020-11,86,41,0.5,13
2020-12,89,39,0.5,13
2021-01,74,32,0.5,12
2021-02,75,31,0.5,11
2021-03,77,35,0.5,13
2021-04,76,35,0.5,12
2021-05,77,34,0.5,12
2021-06,69,33,0.5,13
2021-07,78,33,1,12
2021-08,80,35,4,13
2021-09,73,33,3,12
2021-10,74,33,4,12
2021-11,95,38,5,13
2021-12,93,35,5,12
2022-01,81,33,4,12
2022-02,79,32,4,12
2022-03,82,34,4,13
2022-04,85,35,5,14
2022-05,80,35,5,13
2022-06,76,37,5,13
2022-07,79,35,4,14
2022-08,86,38,5,14
2022-09,79,34,4,13
2022-10,77,36,5,12
2022-11,97,39,6,15
2022-12,100,41,5,16
2023-01,80,35,4,14
2023-02,80,34,5,12
2023-03,80,34,5,14
2023-04,82,38,5,14
2023-05,80,37,5,14
2023-06,73,36,5,14
2023-07,81,37,5,13
2023-08,80,39,5,13
2023-09,79,39,5,13
2023-10,80,39,5,14
2023-11,91,44,7,15
2023-12,96,41,6,15
2024-01,73,39,5,13
2024-02,70,40,5,14
2024-03,72,46,5,14
2024-04,75,46,6,15
2024-05,71,46,6,14
2024-06,71,44,5,14
2024-07,70,45,5,15
2024-08,78,47,6,15
2024-09,70,48,5,15
